BW      BOTSWANA
DE      GERMANY
EC      ECUADOR
PT      PORTUGAL
RU      RUSSIANFEDERATION
IN      INDIA
SI      SLOVENIA
MZ      MOZAMBIQUE
DK      DENMARK
PY      PARAGUAY
MU      MAURITIUS
BA      BOSNIA&HERZEGOVINA
DO      DOMINICREPUBLIC
ES      SPAIN
RO      ROMANIA
NO      NORWAY
CA      CANADA
EE      ESTONIA
GR      GREECE
ZM      ZAMBIA
GB      UNITEDKINGDOM
BJ      BENIN
ML      MALI
PH      PHILIPPINES
UY      URUGUAY
SN      SENEGAL
EG      EGYPT
TN      TUNISIA
ET      ETHIOPIA
JM      JAMAICA
BO      BOLIVIA
CY      CYPRUS
ZA      SOUTHAFRICA
UA      UKRAINE
MY      MALAYSIA
BG      BULGARIA
BH      BAHRAIN
MT      MALTA
SK      SLOVAKIA
PK      PAKISTAN
HU      HUNGARY
SG      SINGAPORE
FI      FINLAND
CZ      CZECHREPUBLIC
SE      SWEDEN
PE      PERU
TZ      TANZANIA
HK      HONGKONG
MA      MOROCCO
BD      BANGLADESH
AU      AUSTRALIA
OM      OMAN
BF      BURKINAFASO
HR      CROATIA
LB      LEBANON
AT      AUSTRIA
CM      CAMEROON
SA      SAUDIARABIA
VN      VIETNAM
BR      BRAZIL
RS      SERBIA
JO      JORDAN
IE      IRELAND
ZW      ZIMBABWE
KR      SOUTHKOREA
II      INDONESIA
PA      PANAMA
AE      UAE
IT      ITALY
BE      BELGIUM
NL      NETHERLANDS
TG      TOGO
PL      POLAND
JP      JAPAN
KE      KENYA
UG      UGANDA
LT      LITHUANIA
TR      TURKEY
MK      REPUBLICOFMACEDONIA
TW      TAIWAN
NG      NIGERIA
QA      QATAR
AR      ARGENTINA
GH      GHANA
CI      COTEDIVOIRE
CR      COSTARICA
KW      KUWAIT
MR      MAURITANIA
CL      CHILE
LV      LATVIA
LK      SRILANKA
NZ      NEWZEALAND
CH      SWITZERLAND
NP      NEPAL
TH      THAILAND
FR      FRANCE
CO      COLOMBIA
IS      ICELAND
MX      MEXICO
